Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
12000,1996,Sleep,Primary Activities,Male,FALSE,494
13000,1996,Sleep,Primary Activities,Male,FALSE,503
14000,1996,Sleep,Primary Activities,Male,FALSE,496
15000,1996,Sleep,Primary Activities,Male,FALSE,516
16000,1996,Sleep,Primary Activities,Male,FALSE,507
17000,1996,Sleep,Primary Activities,Male,FALSE,518
18000,1996,Sleep,Primary Activities,Male,FALSE,505
19000,1996,Sleep,Primary Activities,Male,FALSE,501
20000,1996,Sleep,Primary Activities,Male,FALSE,521
21000,1996,Sleep,Primary Activities,Male,FALSE,511
22000,1996,Sleep,Primary Activities,Male,FALSE,499
23000,1996,Sleep,Primary Activities,Male,FALSE,505
24000,1996,Sleep,Primary Activities,Male,FALSE,513
25000,1996,Sleep,Primary Activities,Male,FALSE,507
26000,1996,Sleep,Primary Activities,Male,FALSE,511
27000,1996,Sleep,Primary Activities,Male,FALSE,500
28000,1996,Sleep,Primary Activities,Male,FALSE,496
29000,1996,Sleep,Primary Activities,Male,FALSE,506
30000,1996,Sleep,Primary Activities,Male,FALSE,526
31000,1996,Sleep,Primary Activities,Male,FALSE,516
32000,1996,Sleep,Primary Activities,Male,FALSE,511
33000,1996,Sleep,Primary Activities,Male,FALSE,504
34000,1996,Sleep,Primary Activities,Male,FALSE,506
35000,1996,Sleep,Primary Activities,Male,FALSE,496
36000,1996,Sleep,Primary Activities,Male,FALSE,520
37000,1996,Sleep,Primary Activities,Male,FALSE,504
38000,1996,Sleep,Primary Activities,Male,FALSE,507
39000,1996,Sleep,Primary Activities,Male,FALSE,509
40000,1996,Sleep,Primary Activities,Male,FALSE,499
41000,1996,Sleep,Primary Activities,Male,FALSE,520
42000,1996,Sleep,Primary Activities,Male,FALSE,513
43000,1996,Sleep,Primary Activities,Male,FALSE,525
44000,1996,Sleep,Primary Activities,Male,FALSE,498
45000,1996,Sleep,Primary Activities,Male,FALSE,504
46000,1996,Sleep,Primary Activities,Male,FALSE,512
